CountyName,MedianHomePrice,FIPS,Population,MedianIncome,HousingAffordabilityIndex
"Franklin County, Idaho",326320,16041,14036,56677,17.36853395440059
"Pueblo County, Colorado",326260,8101,167453,53430,16.37650953227487
"Le Sueur County, Minnesota",326180,27079,28567,80425,24.65663130786682
"Gloucester County, Virginia",325940,51073,38586,77733,23.84886788979567
"Bristol Bay Borough, Alaska",325570,2060,849,81563,25.05236969008201
"Windham County, Connecticut",325560,9015,116503,71418,21.936970143752305
"Chisago County, Minnesota",325260,27025,56328,90870,27.937649880095922
"Lemhi County, Idaho",325250,16059,7948,46105,14.175249807840123
"Bastrop County, Texas",325180,48021,94887,78339,24.090965003997784
"Tehama County, California",324970,6103,65345,52901,16.278733421546605
"Coos County, Oregon",324950,41011,64619,52548,16.17110324665333
"Cumberland County, Pennsylvania",324940,42041,257333,77001,23.69699021357789
"Jefferson County, Idaho",324920,16051,30427,69097,21.265850055398253
"Boone County, Missouri",324340,29019,182170,62653,19.317074674724054
"Hancock County, Indiana",324120,18059,78616,79126,24.412563248179687
"Douglas County, Kansas",323960,20045,118690,62594,19.32152117545376
"Eau Claire County, Wisconsin",323930,55035,105206,64777,19.99722162195536
"Pickens County, Georgia",323900,13227,32814,71637,22.11701142327879
"Orleans Parish, Louisiana",323830,22071,383974,45594,14.079609671741347
"Chambers County, Texas",323780,48071,45257,93707,28.941565260361973
"Waller County, Texas",323780,48473,55505,65379,20.192414602507874
"Lancaster County, Nebraska",323740,31109,320301,65086,20.104404769259283
