County Name,Median Home Price,FIPS,Population,Median Income,Housing Affordability Index,Classification
"Essex County, New Jersey",584190,34013,852720,67826,11.610263784042862,Urban
"San Joaquin County, California",584170,6077,771406,74962,12.832223496584898,Suburban
"Chatham County, North Carolina",580240,37037,75070,76791,13.234351302909142,Suburban
"Teton County, Idaho",575420,16081,11490,75837,13.179416773834763,Rural
"Union County, New Jersey",575310,34039,571963,87369,15.18642123376962,Urban
"Walton County, Florida",575050,12131,73456,68111,11.84436135988175,Suburban
"Hunterdon County, New Jersey",573280,34019,128807,123373,21.52054842310913,Urban
"Fulton County, Georgia",571420,13121,1054286,77635,13.586328794931925,Urban
"Goochland County, Virginia",571190,51075,24300,100517,17.597822090722875,Urban
"Douglas County, Nevada",570520,32005,49158,75688,13.266493725022784,Rural
"Rockingham County, New Hampshire",567800,33015,312771,101683,17.908242338851707,Urban
"Cumberland County, Maine",567480,23005,300776,80679,14.217064918587438,Suburban
"Coconino County, Arizona",567380,4005,144942,61888,10.907680919313336,Suburban
"Prince William County, Virginia",565520,51153,477224,113831,20.12855425095487,Urban
"Cape May County, New Jersey",564630,34009,95488,76237,13.502116430228645,Suburban
"Collin County, Texas",559780,48085,1039812,104327,18.637143163385616,Urban
"Broward County, Florida",559120,12011,1934551,64522,11.539919874087852,Urban
"Clark County, Washington",558880,53011,496494,82719,14.800851703406812,Urban
"Wake County, North Carolina",556770,37183,1112883,88471,15.890044363022431,Urban
"Adams County, Colorado",556660,8001,514969,78304,14.066755290482522,Urban
"Thurston County, Washington",552470,53067,290642,81501,14.75211323691784,Suburban
"Bristol County, Massachusetts",551780,25005,576070,74290,13.46369930044583,Urban
"Chelan County, Washington",549630,53007,78508,64895,11.807033822753487,Suburban
"Maricopa County, Arizona",549130,4013,4367186,72944,13.283557627519896,Urban
"Orange County, North Carolina",547080,37135,147376,79205,14.47777290341449,Suburban
"Beaufort County, South Carolina",544440,45013,186007,74199,13.628499008155169,Suburban
"Weld County, Colorado",541830,8123,322424,80843,14.920362475315136,Suburban
"Stafford County, Virginia",540920,51179,154204,119818,22.150780152333063,Urban
"Garfield County, Colorado",540700,8045,61221,77212,14.280007397817643,Rural
"Gilpin County, Colorado",539480,8047,5812,96784,17.94023874842441,Urban
"Chittenden County, Vermont",538170,50007,167523,81957,15.228831038519427,Suburban
"Anne Arundel County, Maryland",534960,24003,584064,108048,20.197397936294305,Urban
"Bristol County, Rhode Island",534440,44001,50672,95102,17.79470099543447,Urban
"Fayette County, Georgia",533460,13113,117828,96084,18.011472275334608,Urban
"Jefferson County, Washington",532780,53031,32590,59968,11.255677765681895,Rural
"Putnam County, New York",532700,36079,97960,111617,20.95306926975784,Urban
"Valley County, Idaho",530790,16085,11476,67528,12.722168842668474,Rural
"Grand County, Colorado",528300,8049,15629,69353,13.127579027067954,Rural
"Kendall County, Texas",527490,48259,43842,100706,19.091546759180268,Urban
"Cherokee County, Georgia",527270,13057,262155,90681,17.19820964591196,Urban
"Delaware County, Ohio",526480,39041,211121,116284,22.08706883452363,Urban
"James City County, Virginia",522760,51095,77733,94907,18.15498507919504,Urban
"Sarasota County, Florida",521010,12115,429336,69490,13.337555901038368,Suburban
"Park County, Colorado",518900,8093,17384,77775,14.988437078435153,Urban
"Chester County, Pennsylvania",516750,42029,531704,109969,21.280890179003386,Urban
"Cache County, Utah",516630,49005,131703,65670,12.711224667557053,Suburban
"El Paso County, Colorado",514820,8041,722736,75909,14.74476516063867,Suburban
"Albemarle County, Virginia",513980,51003,111438,90568,17.62091910191058,Suburban
"Martin County, Florida",513490,12085,158323,69769,13.587216888352255,Suburban
"Yamhill County, Oregon",513100,41071,107024,73409,14.306957708049117,Urban
"Wilson County, Tennessee",513000,47189,144748,82224,16.028070175438597,Urban
"Denton County, Texas",512440,48121,885012,96265,18.785613925532747,Urban
"Yavapai County, Arizona",512040,4025,233789,56170,10.969846105772984,Suburban
"Sitka City and Borough, Alaska",511730,2220,8518,82083,16.040294686651162,Rural
"Williamson County, Texas",511530,48491,591759,94705,18.51406564619866,Urban
"Passaic County, New Jersey",510750,34031,521067,78386,15.347234459128734,Urban
"Stanislaus County, California",509510,6099,550842,68368,13.418382367372574,Suburban
"Union County, North Carolina",509220,37179,235699,88465,17.37264836,Urban
"Calvert County, Maryland",509020,24009,92515,120295,23.63266669286079,Urban
"Davidson County, Tennessee",508930,47037,708490,66047,12.97761971194467,Urban
"Hillsborough County, New Hampshire",508780,33011,420504,86930,17.085970360470142,Suburban
"Tooele County, Utah",508430,49045,71340,87557,17.221053045650336,Urban
"Josephine County, Oregon",507150,41033,87686,51733,10.200729567189194,Suburban
"Clark County, Nevada",506980,32003,2231147,64210,12.665193893250226,Urban
"Santa Fe County, New Mexico",506660,35049,153632,64423,12.715233095172303,Suburban
"Mecklenburg County, North Carolina",503960,37119,1100984,73124,14.509881736645768,Urban
"Cobb County, Georgia",503580,13067,762500,86013,17.080305016084832,Urban
"Middlesex County, New Jersey",503140,34023,858770,96883,19.255674364987875,Urban
"Worcester County, Massachusetts",503010,25027,856858,81660,16.234269696427507,Suburban
"Archuleta County, Colorado",502360,8007,13267,62907,12.522294768691774,Rural
"Rockwall County, Texas",501250,48397,105227,111595,22.263341645885287,Urban
"Carroll County, Maryland",500290,24013,172148,104708,20.92946091267065,Urban
"Mendocino County, California",500030,6045,91534,56378,11.274923504589724,Rural
"Mineral County, Colorado",499540,8079,794,55556,11.121431717179805,Rural
"Clallam County, Washington",499150,53009,76727,60044,12.029249724531704,Rural
"New Hanover County, North Carolina",498680,37129,225175,62362,12.505414293735464,Suburban
"Juneau City and Borough, Alaska",498370,2110,32240,90126,18.084154343158698,Rural
"Oconee County, Georgia",497000,13219,41006,106165,21.36116700201207,Suburban
"Comal County, Texas",495700,48091,156257,85912,17.331450474077062,Urban
"Clarke County, Virginia",495170,51043,14726,86633,17.495607569117677,Urban
"Frederick County, Maryland",494180,24021,267498,106129,21.475778056578573,Urban
"Mason County, Washington",493130,53045,64964,66325,13.449800255510716,Rural
"Polk County, Oregon",492250,41053,86347,70238,14.268765871000507,Suburban
"Grand County, Utah",491660,49019,9630,51433,10.46109099784404,Rural
"York County, Virginia",490860,51199,69635,96144,19.586847573646253,Urban
"Weber County, Utah",490010,49057,259390,74345,15.172139344095015,Suburban
"Hanover County, Virginia",488980,51085,109232,96911,19.81901100249499,Urban
"Dutchess County, New York",488250,36027,296012,87112,17.841679467485918,Urban
"Manatee County, Florida",488170,12081,394824,64964,13.30765921707602,Suburban
"York County, Maine",487740,23031,210486,73856,15.142493951695576,Suburban
"Carver County, Minnesota",487080,27019,105694,107890,22.15036544304837,Urban
"Dare County, North Carolina",485800,37055,36718,69500,14.306298888431456,Rural
"Park County, Montana",483270,30067,17072,58510,12.107103689448962,Rural
"Seminole County, Florida",483080,12117,467382,73002,15.111782727498552,Urban
"Poquoson city, Virginia",482910,51735,12382,112026,23.198111449338384,Urban
"Kittitas County, Washington",482470,53037,44147,64134,13.292847223661576,Rural
"Madera County, California",481490,6039,156304,66709,13.854701032212509,Suburban
"Buncombe County, North Carolina",480640,37021,266981,59699,12.42073069241012,Suburban
"Queen Anne's County, Maryland",478550,24035,49702,99597,20.81224532441751,Urban
